'neuron', 'neuron', 'delay', 'correlation coefficient'
50, 234, 3, -0.86602540378443849
2, 52, -1, -0.85758916951735664
141, 240, 3, -0.84270670118478863
50, 187, 3, -0.83333333333333348
13, 105, 2, -0.83205029433784372
13, 105, 1, -0.81690072783705403
13, 234, -3, -0.80778069580156009
55, 56, -2, -0.7867957924694432
55, 66, -2, -0.7867957924694432
32, 127, 1, -0.7861154674027776
32, 127, 2, -0.76455285154260744
13, 187, -3, -0.76321225140972138
103, 127, 2, -0.76018482123191966
52, 127, -3, -0.76000650662339087
52, 60, 1, -0.75714285714285723
52, 89, 1, -0.75714285714285723
2, 52, 0, -0.75623534160464356
13, 167, -3, -0.75124363463361532
27, 103, -1, -0.75054596055180667
27, 52, 3, -0.74701788083399634
13, 141, 0, -0.74545218453343309
52, 123, 1, -0.74135712690334987
13, 141, -1, -0.73862221098662506
11, 50, -3, -0.73854894587599618
16, 50, -3, -0.73854894587599618
52, 167, 2, -0.73374065591328386
13, 141, -2, -0.73242494067846098
6, 52, -1, -0.73137244983480099
105, 127, -3, -0.73013636563729345
27, 32, -1, -0.72741672565452764
50, 52, -3, -0.72222222222222232
127, 157, -1, -0.72032487429513492
2, 141, -3, -0.7157234996363957
13, 105, 0, -0.70783839729656561
13, 16, -3, -0.70231278163169097
127, 234, -2, -0.69989647267561517
127, 157, -2, -0.69156407480812465
103, 127, 1, -0.69090909090909092
13, 157, -3, -0.68988358002501715
141, 240, 2, -0.68693564797829931
55, 100, 1, -0.68465319688145765
105, 127, -2, -0.68376345875782762
30, 32, 0, -0.68149924369598558
30, 105, 3, -0.67936622048675721
2, 127, 2, -0.67798701552351659
16, 127, 2, -0.67798701552351659
52, 167, 0, -0.67778755753876319
16, 127, 1, -0.67756247615323939
127, 141, 1, -0.6764754597315763
13, 103, -3, -0.67627507197365555
103, 127, 3, -0.67627507197365555
52, 234, 0, -0.6760659859742274
27, 103, 0, -0.67276793193526441
187, 234, 3, -0.67193194395967859
16, 52, 0, -0.67142857142857137
27, 32, 0, -0.6697264610260989
27, 187, 0, -0.66972646102609878
2, 13, 3, -0.66842392277696105
11, 13, 3, -0.66842392277696094
27, 157, -1, -0.66653867427189217
127, 187, -1, -0.66462489516780299
56, 240, -3, -0.66299354413179612
52, 60, 0, -0.66254134886891314
52, 89, 0, -0.66254134886891314
105, 240, 2, -0.66248942149608725
127, 157, 0, -0.66229455122373238
30, 52, 3, -0.66143782776614757
13, 60, -3, -0.65759594922142917
13, 89, -3, -0.65759594922142917
16, 55, 0, -0.65714285714285714
127, 234, -1, -0.65621795888971057
6, 27, 1, -0.65558014837861101
13, 176, -3, -0.65420916645143812
55, 234, 0, -0.65275336576821963
6, 127, 2, -0.65217391304347827
2, 52, -2, -0.65136975728567692
30, 103, 0, -0.64993659876758936
66, 176, -3, -0.64878466705773463
6, 127, 3, -0.64686651902559733
6, 13, 3, -0.64686651902559711
127, 141, 0, -0.64465837122030434
6, 52, 0, -0.64360246886648476
13, 105, 3, -0.64323290095265473
