'neuron', 'neuron', 'delay', 'correlation coefficient'
66, 100, 3, 1.0
60, 89, 0, 1.0
56, 100, 3, 1.0
11, 16, 0, 0.96482587328273595
6, 89, 0, 0.93112570251906679
6, 60, 0, 0.93112570251906679
32, 157, 0, 0.92457488051396863
16, 89, 0, 0.91008427042433138
16, 60, 0, 0.91008427042433138
16, 157, 0, 0.90873893479530365
27, 30, -1, 0.90487482538326958
11, 123, 0, 0.9040696685099826
16, 32, 0, 0.90389138619852816
66, 105, -3, 0.89467505776122125
16, 123, 0, 0.88312352250149329
89, 157, 0, 0.88285346868672532
60, 157, 0, 0.88285346868672532
123, 176, 1, 0.88195289505217278
52, 141, -2, 0.88191710368819687
127, 240, 3, 0.88097639184320631
105, 141, -1, 0.87934676258173239
6, 16, 0, 0.87790935845382245
11, 176, 1, 0.87645982120221477
11, 89, 0, 0.87534779729760348
11, 60, 0, 0.87534779729760348
2, 6, 0, 0.87376593844750727
105, 141, -2, 0.87369775285722429
2, 89, 0, 0.86299046620026154
2, 60, 0, 0.86299046620026154
30, 127, 1, 0.86164043685532921
11, 157, 0, 0.85976842788621866
16, 176, 1, 0.85860131587481403
89, 123, 0, 0.85856764327722246
60, 123, 0, 0.85856764327722246
89, 176, 0, 0.85856764327722235
60, 176, 0, 0.85856764327722235
27, 127, 1, 0.85557676769291768
16, 234, 0, 0.85257582467685822
2, 16, 0, 0.85017762006484765
11, 32, 0, 0.84943405602910271
6, 11, 0, 0.84614158480201651
52, 187, -3, 0.84270670118478852
11, 234, 0, 0.84153419918674977
6, 157, 0, 0.83720826937992632
6, 167, 0, 0.83670151689420402
2, 123, 0, 0.83326334624718057
167, 176, 0, 0.83187984734677589
187, 234, 0, 0.83060806768299689
32, 234, 0, 0.83060806768299689
127, 240, 2, 0.83047444009316773
16, 187, 0, 0.82491058546273432
27, 240, 3, 0.8209591223666467
123, 157, 0, 0.81536538534308167
6, 176, 0, 0.8150755078328602
6, 123, 0, 0.8150755078328602
32, 89, 0, 0.81399183062150526
32, 60, 0, 0.81399183062150526
2, 11, 0, 0.81359272339435174
32, 103, 0, 0.81263605537200112
13, 30, 1, 0.80985828719852571
16, 176, 0, 0.80778597081890136
27, 30, 0, 0.80222462966157015
2, 141, 3, 0.8017837257372733
89, 167, 0, 0.79356120629013216
60, 167, 0, 0.79356120629013216
6, 32, 0, 0.79072370761391342
2, 167, 0, 0.78902778577558363
6, 167, 1, 0.78779619655209787
27, 30, -2, 0.78412547011363043
27, 127, 2, 0.78242820951731784
16, 89, 1, 0.78209272087474513
16, 60, 1, 0.78209272087474513
16, 157, 1, 0.77795920333408575
16, 123, 1, 0.77795920333408575
103, 167, 0, 0.77546262442441061
2, 157, 0, 0.77499050813997838
27, 127, 0, 0.77395729920332124
11, 187, 0, 0.76896135598424054
123, 176, 0, 0.76824034334763958
157, 234, 0, 0.76795935493194523
30, 127, 0, 0.76742576689365083
2, 234, 0, 0.76651423066041979
89, 141, 2, 0.76447078715643835
60, 141, 2, 0.76447078715643835
30, 127, 2, 0.75913410210596999
11, 167, 1, 0.75897011676076642
16, 167, 0, 0.75891270921328735
16, 187, 1, 0.75837704302041575
32, 157, 1, 0.75800124244927691
123, 167, 1, 0.75745055500909231
2, 89, 1, 0.75642321469810747
2, 60, 1, 0.75642321469810747
89, 141, 3, 0.7559289460184544
60, 141, 3, 0.7559289460184544
89, 176, 1, 0.75519322322681981
60, 176, 1, 0.75519322322681981
13, 30, 0, 0.75269860099942298
103, 157, 0, 0.75134288379691072
11, 176, 0, 0.75054840404602319
2, 176, 1, 0.75054596055180667
2, 32, 0, 0.74732226384454503
2, 176, 0, 0.74656542582839869
32, 187, 0, 0.74528301886792458
89, 167, 1, 0.74434396760344845
60, 167, 1, 0.74434396760344845
157, 176, 0, 0.74048489077075785
13, 127, -1, 0.73893350666533408
89, 234, 0, 0.73663510760872408
60, 234, 0, 0.73663510760872408
16, 234, 1, 0.73575582475666912
6, 234, 0, 0.735682938029248
11, 16, -1, 0.73451382208170046
11, 89, 1, 0.73421186001969885
11, 60, 1, 0.73421186001969885
52, 141, -3, 0.73214285714285732
2, 167, 1, 0.73114978420432708
32, 187, 1, 0.73094578772536312
2, 167, -1, 0.72900212577116819
2, 16, -1, 0.72740196978581184
141, 167, -2, 0.72667667681433235
16, 103, 0, 0.72353199118909228
6, 176, 1, 0.72060701878657507
32, 123, 0, 0.71990317953309135
176, 187, 0, 0.71990317953309124
11, 16, 1, 0.71909577344359754
11, 167, 0, 0.71458790753978818
141, 167, -3, 0.71339229840850638
11, 157, 1, 0.71272556888971306
11, 123, 1, 0.71272556888971306
16, 167, 1, 0.7111443727546094
16, 32, -1, 0.70930435161855776
6, 141, 2, 0.70929936561519058
16, 141, 3, 0.70779832832609413
13, 127, -2, 0.70759697658766574
105, 141, -3, 0.70613481264300637
123, 141, 3, 0.70613481264300615
103, 234, 0, 0.7049073768502413
2, 6, -1, 0.70357700672748269
11, 234, 1, 0.70082555788515144
167, 234, 0, 0.70036882192390693
6, 141, 3, 0.69985421222376498
66, 105, -2, 0.69631062382279141
13, 127, -3, 0.69534014769601848
157, 176, 1, 0.69456354991559632
89, 123, -1, 0.69302648887738361
60, 123, -1, 0.69302648887738361
103, 187, 1, 0.69212156306859562
6, 103, 0, 0.69054130263177893
50, 240, -3, 0.69006555934235414
157, 187, 0, 0.68906995811890115
13, 240, 2, 0.68732933744820046
27, 30, 1, 0.68655548122874777
11, 187, 1, 0.68609900242133137
13, 30, -1, 0.68543652683762946
100, 232, -2, 0.68313005106397329
66, 100, 2, 0.68313005106397329
56, 100, 2, 0.68313005106397329
13, 30, 2, 0.68292003490312225
13, 240, 1, 0.681874542337503
56, 232, -3, 0.68138514386924665
4, 232, -3, 0.68138514386924653
157, 234, -1, 0.68055704737872058
123, 234, -1, 0.68055704737872058
27, 127, -1, 0.67921808670141104
2, 11, -1, 0.6778325730477609
6, 103, 1, 0.67702326063198626
6, 16, -1, 0.67656040450595711
157, 167, 0, 0.67627662666543253
6, 187, 0, 0.67594123392802274
89, 187, 0, 0.67310862916778325
60, 187, 0, 0.67310862916778325
141, 176, -2, 0.67269868766024199
32, 123, 1, 0.6720944349716923
32, 176, 1, 0.67209443497169219
30, 240, 3, 0.67193194395967848
16, 32, 1, 0.67067357546023165
157, 187, 1, 0.66977238649097992
89, 187, 1, 0.66788744532445476
60, 187, 1, 0.66788744532445476
2, 6, 1, 0.66653867427189228
13, 27, -2, 0.66552183813944743
167, 240, -1, 0.6651447526065507
52, 105, -1, 0.6650170918302053
13, 27, 2, 0.6649325751226759
2, 89, -1, 0.6647700293478882
2, 60, -1, 0.6647700293478882
2, 157, 1, 0.6631536226793362
2, 123, 1, 0.6631536226793362
6, 187, 1, 0.66147690482450838
56, 66, 0, 0.66143782776614757
30, 127, -1, 0.65828058860438343
56, 66, 1, 0.6582805886043831
103, 141, 2, 0.65794104840607515
30, 127, 3, 0.65759594922142905
2, 187, 0, 0.65643171824183011
89, 103, 0, 0.65493700925000642
60, 103, 0, 0.65493700925000642
13, 127, 0, 0.65480189977603942
56, 66, 2, 0.6546536707079772
11, 32, -1, 0.65377120641156916
141, 176, -3, 0.65250158392561819
16, 157, -1, 0.64994213840451964
13, 27, -3, 0.64984405613754537
16, 141, 2, 0.64944820344102905
2, 141, 2, 0.64944820344102905
11, 103, 0, 0.64917530100010068
89, 103, 1, 0.6458949429665547
60, 103, 1, 0.6458949429665547
6, 89, -1, 0.64560793480939405
6, 60, -1, 0.64560793480939405
32, 89, 1, 0.64502043716921964
32, 60, 1, 0.64502043716921964
141, 187, -1, 0.64502043716921953
89, 234, -1, 0.64437998410082098
60, 234, -1, 0.64437998410082098
2, 127, -3, 0.64379044019311216
105, 187, -3, 0.64323290095265473
176, 234, 0, 0.64203097227466766
123, 234, 0, 0.64203097227466766
2, 16, 1, 0.63968961806380853
123, 187, 0, 0.63891407183561866
32, 176, 0, 0.63891407183561866
123, 167, 0, 0.63866904409204095
32, 234, 1, 0.63864322476585145
11, 103, 1, 0.6378266995438383
11, 141, 3, 0.63474544954200796
6, 234, 1, 0.63296210442729151
60, 89, 1, 0.63262662781173717
60, 89, -1, 0.63262662781173717
6, 16, 1, 0.63179775179118747
6, 11, -1, 0.63133581053222165
6, 122, -1, 0.63133581053222154
167, 187, 0, 0.63016888820067252
32, 167, 0, 0.63016888820067252
141, 187, -2, 0.62994078834871203
32, 141, 2, 0.62994078834871203
13, 27, 1, 0.62974028568718754
2, 27, -3, 0.62779227004508298
103, 157, -1, 0.62593071092324482
13, 30, -2, 0.62445033199020972
16, 103, 1, 0.62180547925851548
6, 89, 1, 0.6211695809935065
6, 60, 1, 0.6211695809935065
16, 89, -1, 0.61960199637076196
16, 60, -1, 0.61960199637076196
2, 103, -1, 0.61791438065332471
16, 234, -1, 0.61589503579438665
123, 157, -1, 0.61584634759182877
89, 123, 1, 0.61411317053609549
60, 123, 1, 0.61411317053609549
89, 157, 1, 0.61411317053609538
60, 157, 1, 0.61411317053609538
50, 55, 3, 0.61237243569579447
2, 73, -3, 0.61084722178152595
2, 234, -1, 0.61064338066163026
6, 123, 1, 0.60821876815013676
6, 157, 1, 0.60821876815013665
16, 123, -1, 0.60746111728159924
11, 234, -1, 0.60661898572588235
123, 187, 1, 0.60661674141729882
141, 157, -3, 0.60521830656901965
105, 141, 0, 0.60481473675900621
30, 73, 1, 0.60385963985554192
89, 234, 1, 0.6038596398555417
60, 234, 1, 0.6038596398555417
13, 27, 0, 0.60383335643354408
103, 187, 0, 0.60367249827634373
30, 240, 2, 0.60352167367545839
103, 234, 1, 0.60314830579873036
2, 11, 1, 0.60223457663984259
6, 11, 1, 0.59938436001490647
157, 167, 1, 0.59924034328237452
11, 157, -1, 0.59905660377358494
2, 240, 0, 0.5981014591298176
32, 234, -1, 0.59716601034908379
11, 32, 1, 0.59706325401550975
2, 240, -1, 0.59403759008686818
52, 105, 0, 0.59336610396392986
167, 187, 1, 0.5929629932995677
30, 73, 2, 0.59186403024937262
89, 157, -1, 0.59103819297280669
60, 157, -1, 0.59103819297280669
13, 240, 3, 0.58955223880596996
2, 240, -2, 0.58940397350993379
103, 176, 0, 0.58689969918002916
127, 167, 3, 0.58653846153846145
157, 234, 1, 0.58519469425882464
11, 141, 2, 0.58505328157984238
32, 157, -1, 0.58416238220265926
2, 103, 0, 0.58408758004112793
2, 32, -1, 0.58405901509977143
2, 123, -1, 0.5837328563812797
11, 89, -1, 0.58332312332811087
11, 60, -1, 0.58332312332811087
13, 73, 2, 0.58297524806816614
56, 105, -3, 0.58193569724010463
2, 50, 3, 0.57835174482380602
50, 89, -3, 0.57735026918962573
50, 60, -3, 0.57735026918962573
50, 73, 3, 0.57735026918962562
50, 73, -3, 0.57735026918962562
6, 123, -1, 0.57691436858449396
16, 103, -1, 0.57592997117299893
13, 127, 2, 0.57541609199757859
13, 30, -3, 0.57539645556875052
56, 105, -1, 0.57380458405303103
32, 103, -1, 0.57327240577398841
167, 234, 1, 0.57146307694301546
103, 234, -1, 0.57022461417894077
141, 157, -2, 0.56980288229818976
56, 105, -2, 0.56980288229818976
52, 127, 3, 0.56949479745149956
13, 73, 1, 0.5690901829794961
176, 240, -1, 0.56678053916265747
27, 45, 2, 0.56652882288706519
27, 30, 2, 0.56652882288706519
32, 103, 1, 0.5657998755240411
123, 240, 0, 0.56283025042513435
66, 234, 2, 0.56061191058138815
56, 234, 2, 0.56061191058138815
123, 157, 1, 0.55777561470867165
123, 234, 1, 0.55685126679691888
45, 73, -3, 0.55470019622522915
30, 45, 3, 0.55470019622522915
52, 234, -3, 0.55357142857142849
141, 234, -3, 0.55357142857142838
141, 234, -2, 0.55301004133750209
52, 141, -1, 0.54935026557353595
50, 141, 1, 0.54935026557353595
176, 234, -1, 0.54908579958964943
13, 127, 1, 0.54908579958964943
11, 123, -1, 0.54877651223185431
13, 27, -1, 0.54761954819748782
2, 103, 1, 0.54750662114451465
6, 32, -1, 0.54600714968283137
123, 167, -1, 0.54522118416056076
167, 176, 1, 0.54522118416056053
50, 55, 2, 0.54470477940192219
45, 127, -2, 0.54470477940192219
30, 127, -2, 0.54470477940192219
167, 240, -2, 0.54457901964973121
32, 167, 1, 0.54389727848080172
13, 27, 3, 0.54256458843404198
13, 30, 3, 0.54213931805735782
16, 52, 3, 0.54190809512466576
103, 123, -1, 0.54028398057041904
