'neuron', 'neuron', 'delay', 'correlation coefficient'
305, 327, 3, 1.0
273, 394, -2, 1.0
265, 394, -3, 1.0
265, 273, -1, 1.0
264, 394, -2, 1.0
264, 273, 0, 1.0
264, 265, 1, 1.0
263, 290, -1, 1.0
249, 394, 2, 1.0
246, 255, 0, 1.0
244, 273, -3, 1.0
244, 265, -2, 1.0
244, 264, -3, 1.0
243, 290, -3, 1.0
243, 263, -2, 1.0
243, 257, 2, 1.0
240, 273, -2, 1.0
240, 265, -1, 1.0
240, 264, -2, 1.0
240, 244, 1, 1.0
237, 394, -2, 1.0
237, 273, 0, 1.0
237, 265, 1, 1.0
237, 264, 0, 1.0
237, 244, 3, 1.0
237, 240, 2, 1.0
224, 290, 1, 1.0
224, 263, 2, 1.0
223, 273, -3, 1.0
223, 264, -3, 1.0
223, 237, -3, 1.0
220, 394, 1, 1.0
220, 273, 3, 1.0
220, 264, 3, 1.0
220, 249, -1, 1.0
220, 237, 3, 1.0
219, 273, 3, 1.0
219, 264, 3, 1.0
219, 237, 3, 1.0
216, 255, 3, 1.0
216, 246, 3, 1.0
216, 243, -2, 1.0
209, 273, -3, 1.0
209, 265, -2, 1.0
209, 264, -3, 1.0
209, 244, 0, 1.0
209, 240, -1, 1.0
209, 237, -3, 1.0
207, 257, -2, 1.0
203, 290, -1, 1.0
203, 263, 0, 1.0
203, 243, 2, 1.0
203, 224, -2, 1.0
194, 394, -2, 1.0
194, 273, 0, 1.0
194, 265, 1, 1.0
194, 264, 0, 1.0
194, 244, 3, 1.0
194, 240, 2, 1.0
194, 237, 0, 1.0
194, 223, 3, 1.0
194, 220, -3, 1.0
194, 219, -3, 1.0
194, 209, 3, 1.0
193, 290, 0, 1.0
193, 263, 1, 1.0
193, 243, 3, 1.0
193, 224, -1, 1.0
193, 203, 1, 1.0
188, 394, 3, 1.0
187, 198, 3, 1.0
177, 376, 2, 1.0
174, 386, 2, 1.0
171, 290, 0, 1.0
171, 263, 1, 1.0
171, 243, 3, 1.0
171, 224, -1, 1.0
171, 203, 1, 1.0
171, 193, 0, 1.0
168, 257, -3, 1.0
168, 207, -1, 1.0
166, 242, 2, 1.0
162, 163, 3, 1.0
160, 257, -2, 1.0
160, 207, 0, 1.0
160, 168, 1, 1.0
155, 242, 3, 1.0
155, 166, 1, 1.0
144, 257, -2, 1.0
142, 290, -1, 1.0
142, 263, 0, 1.0
142, 243, 2, 1.0
142, 224, -2, 1.0
142, 203, 0, 1.0
142, 193, -1, 1.0
142, 171, -1, 1.0
141, 255, 0, 1.0
141, 246, 0, 1.0
141, 216, -3, 1.0
136, 273, -3, 1.0
136, 265, -2, 1.0
136, 264, -3, 1.0
136, 244, 0, 1.0
136, 240, -1, 1.0
136, 237, -3, 1.0
136, 209, 0, 1.0
136, 194, -3, 1.0
135, 394, 0, 1.0
135, 273, 2, 1.0
135, 265, 3, 1.0
135, 264, 2, 1.0
135, 249, -2, 1.0
135, 237, 2, 1.0
135, 220, -1, 1.0
135, 194, 2, 1.0
135, 188, -3, 1.0
133, 394, 2, 1.0
133, 220, 1, 1.0
133, 135, 2, 1.0
129, 273, -3, 1.0
129, 265, -2, 1.0
129, 264, -3, 1.0
129, 244, 0, 1.0
129, 240, -1, 1.0
129, 237, -3, 1.0
129, 209, 0, 1.0
129, 194, -3, 1.0
129, 136, 0, 1.0
128, 394, 3, 1.0
128, 242, -1, 1.0
128, 166, -3, 1.0
128, 135, 3, 1.0
121, 177, -2, 1.0
117, 216, -3, 1.0
110, 224, -2, 1.0
105, 273, -2, 1.0
105, 265, -1, 1.0
105, 264, -2, 1.0
105, 244, 1, 1.0
105, 240, 0, 1.0
105, 237, -2, 1.0
105, 209, 1, 1.0
105, 194, -2, 1.0
105, 136, 1, 1.0
105, 129, 1, 1.0
100, 255, 3, 1.0
100, 246, 3, 1.0
100, 141, 3, 1.0
100, 117, 3, 1.0
95, 273, -3, 1.0
95, 265, -2, 1.0
95, 264, -3, 1.0
95, 244, 0, 1.0
95, 240, -1, 1.0
95, 237, -3, 1.0
95, 209, 0, 1.0
95, 194, -3, 1.0
95, 136, 0, 1.0
95, 129, 0, 1.0
95, 105, -1, 1.0
90, 394, -1, 1.0
90, 273, 1, 1.0
90, 265, 2, 1.0
90, 264, 1, 1.0
90, 249, -3, 1.0
90, 240, 3, 1.0
90, 237, 1, 1.0
90, 225, -3, 1.0
90, 220, -2, 1.0
90, 194, 1, 1.0
90, 135, -1, 1.0
90, 133, -3, 1.0
90, 105, 3, 1.0
89, 216, -2, 1.0
89, 117, 1, 1.0
89, 100, -2, 1.0
84, 255, 3, 1.0
84, 246, 3, 1.0
84, 141, 3, 1.0
84, 117, 3, 1.0
84, 89, 2, 1.0
81, 394, 0, 1.0
81, 273, 2, 1.0
81, 265, 3, 1.0
81, 264, 2, 1.0
81, 249, -2, 1.0
81, 237, 2, 1.0
81, 220, -1, 1.0
81, 194, 2, 1.0
81, 188, -3, 1.0
81, 135, 0, 1.0
81, 133, -2, 1.0
81, 128, -3, 1.0
81, 90, 1, 1.0
69, 273, 2, 1.0
69, 265, 3, 1.0
69, 264, 2, 1.0
69, 237, 2, 1.0
69, 225, -2, 1.0
69, 194, 2, 1.0
69, 90, 1, 1.0
59, 164, -1, 1.0
55, 290, -3, 1.0
55, 263, -2, 1.0
55, 203, -2, 1.0
55, 193, -3, 1.0
55, 171, -3, 1.0
55, 142, -2, 1.0
51, 216, -3, 1.0
51, 100, -3, 1.0
51, 84, -3, 1.0
46, 242, 2, 1.0
46, 166, 0, 1.0
46, 155, -1, 1.0
46, 128, 3, 1.0
43, 255, 2, 1.0
43, 246, 2, 1.0
43, 243, -3, 1.0
43, 216, -1, 1.0
43, 141, 2, 1.0
43, 117, 2, 1.0
43, 89, 1, 1.0
29, 263, -3, 1.0
29, 257, 1, 1.0
29, 243, -1, 1.0
29, 216, 1, 1.0
29, 207, 3, 1.0
29, 203, -3, 1.0
29, 160, 3, 1.0
29, 144, 3, 1.0
