'neuron', 'neuron', 'delay', 'correlation coefficient'
3, 244, -2, -1.0
3, 303, 2, -1.0
4, 59, -3, -1.0
15, 81, -2, -1.0
15, 133, -3, -1.0
15, 162, -3, -1.0
15, 163, -2, -1.0
15, 188, -3, -1.0
15, 220, -3, -1.0
15, 225, -2, -1.0
17, 206, 3, -1.0
21, 319, 2, -1.0
27, 40, 1, -1.0
28, 206, 3, -1.0
34, 186, 2, -1.0
38, 186, 1, -1.0
39, 206, 3, -1.0
40, 146, -3, -1.0
52, 206, 2, -1.0
65, 186, 2, -1.0
85, 89, 1, -1.0
85, 303, -2, -1.0
88, 186, 2, -1.0
96, 206, 3, -1.0
97, 186, 2, -1.0
111, 135, -3, -1.0
111, 155, -3, -1.0
111, 237, -3, -1.0
123, 206, -1, -1.0
125, 319, 2, -1.0
154, 242, -3, -1.0
186, 198, -2, -1.0
186, 242, -3, -1.0
187, 319, 2, -1.0
197, 206, 3, -1.0
197, 313, -2, -1.0
218, 219, 3, -1.0
234, 319, 2, -1.0
303, 337, 2, -1.0
18, 85, 0, -0.99999999999999978
45, 151, 2, -0.9541138190982551
1, 387, 1, -0.94338096098047963
3, 113, -1, -0.92951600308978
46, 387, 0, -0.92756397040767413
171, 186, -3, -0.9258200997725512
113, 135, 3, -0.92582009977255109
113, 155, 3, -0.92582009977255109
113, 237, 3, -0.92582009977255109
135, 171, -3, -0.92582009977255109
155, 171, -3, -0.92582009977255109
171, 237, 3, -0.92582009977255109
3, 168, -1, -0.92313266275410177
166, 387, -2, -0.92201794777473578
46, 149, 2, -0.91946214061228415
135, 168, -3, -0.91914503001805781
155, 168, -3, -0.91914503001805781
168, 237, 3, -0.91914503001805781
214, 319, 1, -0.91410608901424617
224, 319, 1, -0.91410608901424617
106, 319, 2, -0.91350027839113968
1, 149, 3, -0.91287092917527679
85, 176, 2, -0.9055509357224758
79, 102, -3, -0.90112711377916577
114, 154, 0, -0.89922880302589714
46, 317, -3, -0.89467505776122092
242, 362, -3, -0.89260739828867364
26, 384, 3, -0.89260739828867308
85, 111, 0, -0.89188258501584494
135, 303, 0, -0.89188258501584461
155, 303, 0, -0.89188258501584461
237, 303, 0, -0.89188258501584461
130, 226, 2, -0.89155582824172874
1, 95, -2, -0.89074532277579122
46, 95, -3, -0.89072354283024657
81, 384, 1, -0.89017371390313049
163, 384, 1, -0.89017371390313049
225, 384, 1, -0.89017371390313049
34, 45, -3, -0.88888241083874919
45, 65, 3, -0.88888241083874919
45, 85, 3, -0.88888241083874919
45, 88, 3, -0.88888241083874919
45, 97, 3, -0.88888241083874919
45, 198, 3, -0.88888241083874919
45, 337, 3, -0.88888241083874919
25, 85, -1, -0.88741196746494244
85, 111, 1, -0.88741196746494244
242, 303, -1, -0.88741196746494244
38, 154, 1, -0.88741196746494222
135, 303, 1, -0.88741196746494222
155, 303, 1, -0.88741196746494222
237, 303, 1, -0.88741196746494222
45, 242, 2, -0.88718232720408718
133, 384, 2, -0.8871215249893073
162, 384, 2, -0.8871215249893073
188, 384, 2, -0.8871215249893073
220, 384, 2, -0.8871215249893073
34, 384, 3, -0.88345220859877238
65, 384, 3, -0.88345220859877238
88, 384, 3, -0.88345220859877238
97, 384, 3, -0.88345220859877238
198, 384, 3, -0.88345220859877238
135, 317, -3, -0.88345220859877227
155, 317, -3, -0.88345220859877227
237, 317, -3, -0.88345220859877227
1, 303, 1, -0.88273482950474957
3, 303, 1, -0.88273482950474957
21, 85, -1, -0.88273482950474957
85, 115, 1, -0.88273482950474957
85, 125, 1, -0.88273482950474957
85, 187, 1, -0.88273482950474957
85, 234, 1, -0.88273482950474957
19, 249, 1, -0.88273482950474946
133, 186, 1, -0.88273482950474935
162, 186, 1, -0.88273482950474935
186, 188, -1, -0.88273482950474935
18, 135, -2, -0.88191710368819687
18, 155, -2, -0.88191710368819687
18, 237, -2, -0.88191710368819687
25, 85, -2, -0.88191710368819687
34, 303, -2, -0.88191710368819687
65, 303, -2, -0.88191710368819687
85, 102, 2, -0.88191710368819687
88, 303, -2, -0.88191710368819687
97, 303, -2, -0.88191710368819687
111, 242, -2, -0.88191710368819687
198, 303, -2, -0.88191710368819687
50, 384, -3, -0.88166203004477384
71, 384, -3, -0.88166203004477384
101, 384, -3, -0.88166203004477384
110, 384, -3, -0.88166203004477384
21, 85, -2, -0.87831006565367986
22, 319, 2, -0.87831006565367986
26, 186, 2, -0.87831006565367986
34, 154, 2, -0.87831006565367986
38, 154, 2, -0.87831006565367986
64, 319, 2, -0.87831006565367986
65, 154, 2, -0.87831006565367986
85, 125, 2, -0.87831006565367986
85, 187, 2, -0.87831006565367986
85, 214, 2, -0.87831006565367986
85, 224, 2, -0.87831006565367986
85, 234, 2, -0.87831006565367986
88, 154, 2, -0.87831006565367986
89, 319, 2, -0.87831006565367986
97, 154, 2, -0.87831006565367986
154, 198, -2, -0.87831006565367986
166, 186, 2, -0.87831006565367986
186, 242, -2, -0.87831006565367986
45, 135, 1, -0.87794448392477098
45, 155, 1, -0.87794448392477098
45, 237, 1, -0.87794448392477098
3, 177, 0, -0.87705801930702909
12, 335, 3, -0.87499999999999989
18, 135, -3, -0.87499999999999989
18, 155, -3, -0.87499999999999989
18, 237, -3, -0.87499999999999989
38, 303, -3, -0.87499999999999989
46, 111, 3, -0.87499999999999989
64, 135, -3, -0.87499999999999989
64, 155, -3, -0.87499999999999989
64, 237, -3, -0.87499999999999989
85, 102, 3, -0.87499999999999989
89, 135, -3, -0.87499999999999989
89, 155, -3, -0.87499999999999989
89, 237, -3, -0.87499999999999989
133, 303, -3, -0.87499999999999989
162, 303, -3, -0.87499999999999989
188, 303, -3, -0.87499999999999989
3, 164, 1, -0.87400737347512636
3, 19, -1, -0.87400737347512625
180, 241, 1, -0.87400737347512625
3, 18, 3, -0.87287156094396934
85, 107, 3, -0.87287156094396934
85, 214, 3, -0.87287156094396934
85, 224, 3, -0.87287156094396934
111, 242, -3, -0.87287156094396934
135, 154, 3, -0.87287156094396934
135, 186, 3, -0.87287156094396934
154, 155, -3, -0.87287156094396934
154, 237, -3, -0.87287156094396934
155, 186, 3, -0.87287156094396934
186, 237, -3, -0.87287156094396934
318, 343, -3, -0.87287156094396934
1, 18, 3, -0.87287156094396923
18, 319, 3, -0.87287156094396923
25, 242, -3, -0.87287156094396923
87, 319, 3, -0.87287156094396923
89, 319, 3, -0.87287156094396923
96, 384, -1, -0.87257305207719849
17, 384, -1, -0.87257305207719837
1, 168, -2, -0.87093638328355194
1, 317, -2, -0.8703882797784892
3, 164, 2, -0.8703882797784892
63, 319, 2, -0.8703882797784892
74, 319, 2, -0.8703882797784892
133, 186, 2, -0.8703882797784892
135, 177, -2, -0.8703882797784892
155, 177, -2, -0.8703882797784892
162, 186, 2, -0.8703882797784892
177, 237, 2, -0.8703882797784892
186, 188, -2, -0.8703882797784892
186, 220, -2, -0.8703882797784892
61, 96, 3, -0.86904818925348126
17, 61, -3, -0.86904818925348093
27, 157, 2, -0.8682431421244593
81, 240, -2, -0.8682431421244593
163, 240, -2, -0.8682431421244593
46, 168, -3, -0.86783339198157405
214, 222, -1, -0.8664485777182116
222, 224, 1, -0.8664485777182116
114, 186, 0, -0.86616351484564447
21, 222, 0, -0.86602540378443871
125, 222, 0, -0.86602540378443871
187, 222, 0, -0.86602540378443871
222, 234, 0, -0.86602540378443871
19, 135, 3, -0.8660254037844386
19, 155, 3, -0.8660254037844386
19, 237, 3, -0.8660254037844386
3, 41, 3, -0.86602540378443849
3, 128, 3, -0.86602540378443849
3, 303, 3, -0.86602540378443849
12, 27, -3, -0.86602540378443849
29, 87, 3, -0.86602540378443849
32, 177, -3, -0.86602540378443849
34, 154, 3, -0.86602540378443849
34, 186, 3, -0.86602540378443849
41, 80, -3, -0.86602540378443849
65, 154, 3, -0.86602540378443849
65, 186, 3, -0.86602540378443849
80, 128, 3, -0.86602540378443849
88, 154, 3, -0.86602540378443849
88, 186, 3, -0.86602540378443849
97, 154, 3, -0.86602540378443849
97, 186, 3, -0.86602540378443849
154, 198, -3, -0.86602540378443849
177, 242, 3, -0.86602540378443849
186, 198, -3, -0.86602540378443849
25, 93, 3, -0.86602540378443837
41, 319, 3, -0.86602540378443837
74, 319, 3, -0.86602540378443837
127, 303, 3, -0.86602540378443837
128, 319, 3, -0.86602540378443837
45, 99, 3, -0.86567164179104483
127, 164, 2, -0.86360152296518367
15, 17, 0, -0.86189160737133463
15, 96, 0, -0.86189160737133463
80, 164, 1, -0.86164043685532898
241, 348, -3, -0.86072856263550657
3, 45, 1, -0.85983772890226873
3, 244, -1, -0.85933784884731923
45, 114, 3, -0.85822741594412255
118, 226, -2, -0.85811633032103307
3, 317, -1, -0.85758916951735653
114, 186, -1, -0.85758916951735653
