'neuron', 'neuron', 'delay', 'correlation coefficient'
11, 42, 2, -1.0
11, 124, 0, -1.0
11, 231, 3, -1.0
11, 299, 2, -1.0
12, 121, -3, -1.0
12, 278, -3, -1.0
24, 222, 3, -1.0
40, 142, -3, -1.0
40, 231, -3, -1.0
40, 235, -3, -1.0
42, 59, 3, -1.0
42, 78, 2, -1.0
42, 311, 1, -1.0
45, 215, 0, -1.0
45, 237, -3, -1.0
59, 299, -3, -1.0
61, 142, -3, -1.0
61, 231, -3, -1.0
61, 235, -3, -1.0
78, 106, 1, -1.0
78, 108, -3, -1.0
78, 142, -1, -1.0
78, 147, 0, -1.0
78, 231, -1, -1.0
78, 299, -2, -1.0
78, 303, 1, -1.0
92, 219, -1, -1.0
106, 311, -2, -1.0
108, 311, 2, -1.0
121, 124, 3, -1.0
124, 278, -3, -1.0
124, 311, 3, -1.0
147, 311, -1, -1.0
188, 204, 2, -1.0
188, 248, -2, -1.0
215, 294, -1, -1.0
222, 230, -3, -1.0
231, 311, 0, -1.0
237, 294, 2, -1.0
299, 311, 1, -1.0
303, 311, -2, -1.0
42, 133, -2, -0.96591112075268981
133, 299, 2, -0.96591112075268981
133, 231, 3, -0.96490128135401543
124, 146, -1, -0.96222247584602583
42, 146, -3, -0.960700372373953
146, 299, 3, -0.960700372373953
103, 325, -3, -0.95168860815739098
272, 323, -2, -0.94311912514301521
329, 375, -3, -0.93933643662772415
181, 197, -2, -0.93808315196468584
206, 399, -3, -0.93632917756904444
62, 138, -2, -0.93549455371157009
10, 12, 3, -0.93494699000845716
10, 124, 3, -0.93494699000845716
124, 133, 0, -0.92819096178451421
92, 316, 2, -0.92783056924063001
108, 266, -2, -0.92783056924063001
201, 399, -2, -0.92717264994553072
42, 266, -3, -0.92702481088695787
266, 299, 3, -0.92702481088695787
219, 272, 3, -0.92582009977255131
167, 216, -3, -0.92073170731707277
89, 276, -3, -0.91914503001805792
27, 130, -3, -0.91855865354369171
61, 211, 3, -0.91662362157887034
42, 385, 3, -0.91662362157887012
299, 385, 3, -0.91662362157887012
124, 197, -1, -0.91462476543031646
1, 241, 3, -0.91287092917527701
141, 241, 3, -0.91287092917527701
147, 241, 3, -0.91287092917527701
12, 197, -2, -0.91146543037530003
124, 197, -2, -0.91146543037530003
42, 197, -3, -0.91079385952335823
197, 299, 3, -0.91079385952335823
78, 101, 3, -0.9097176522946836
168, 258, 2, -0.9055509357224758
249, 344, 2, -0.9055509357224758
87, 91, -2, -0.90453403373329078
87, 227, -2, -0.90453403373329078
250, 300, 2, -0.90453403373329078
221, 362, 3, -0.90419443017946555
396, 399, 3, -0.90350790290525107
46, 117, 2, -0.90226631713826788
189, 256, 3, -0.90112711377916588
17, 26, 3, -0.90112711377916543
86, 326, 2, -0.90048581581928633
126, 211, 2, -0.90048581581928633
211, 224, -2, -0.90048581581928633
127, 341, 3, -0.90042633825223983
277, 349, 0, -0.89922880302589725
75, 385, 3, -0.89837433527510768
108, 349, 2, -0.89707072375839347
142, 385, 3, -0.89647804747823601
