'neuron', 'neuron', 'delay', 'correlation coefficient'
299, 303, 3, 1.0
296, 301, -2, 1.0
251, 287, -2, 1.0
238, 298, -3, 1.0
234, 287, -2, 1.0
234, 238, -1, 1.0
231, 303, 2, 1.0
231, 299, -1, 1.0
215, 237, -3, 1.0
208, 251, 3, 1.0
208, 234, 3, 1.0
195, 287, -2, 1.0
195, 238, -1, 1.0
195, 234, 0, 1.0
195, 208, -3, 1.0
191, 251, 3, 1.0
191, 234, 3, 1.0
191, 195, 3, 1.0
189, 299, -2, 1.0
183, 251, 2, 1.0
183, 234, 2, 1.0
183, 195, 2, 1.0
175, 298, -3, 1.0
175, 238, 0, 1.0
175, 234, 1, 1.0
175, 195, 1, 1.0
173, 193, -1, 1.0
171, 301, -3, 1.0
171, 296, -1, 1.0
169, 287, -2, 1.0
169, 238, -1, 1.0
169, 234, 0, 1.0
169, 208, -3, 1.0
169, 195, 0, 1.0
169, 191, -3, 1.0
169, 183, -2, 1.0
169, 175, -1, 1.0
161, 234, 1, 1.0
161, 208, -2, 1.0
161, 195, 1, 1.0
161, 191, -2, 1.0
161, 178, -3, 1.0
161, 169, 1, 1.0
157, 275, -3, 1.0
147, 303, 1, 1.0
147, 299, -2, 1.0
147, 231, -1, 1.0
142, 303, 2, 1.0
142, 147, 1, 1.0
140, 277, -3, 1.0
140, 141, -2, 1.0
131, 140, 3, 1.0
124, 299, 2, 1.0
124, 231, 3, 1.0
123, 278, -3, 1.0
121, 123, 3, 1.0
115, 210, -3, 1.0
109, 275, -2, 1.0
109, 115, -3, 1.0
108, 299, 1, 1.0
108, 231, 2, 1.0
108, 189, 3, 1.0
108, 147, 3, 1.0
106, 303, 0, 1.0
106, 299, -3, 1.0
106, 231, -2, 1.0
106, 147, -1, 1.0
106, 142, -2, 1.0
102, 193, -3, 1.0
102, 173, -2, 1.0
101, 208, 2, 1.0
100, 178, 1, 1.0
100, 170, -3, 1.0
91, 227, 0, 1.0
78, 311, -1, 1.0
76, 251, 3, 1.0
76, 234, 3, 1.0
76, 195, 3, 1.0
76, 169, 3, 1.0
76, 161, 2, 1.0
73, 105, -1, 1.0
69, 172, -2, 1.0
61, 311, -3, 1.0
61, 224, 1, 1.0
59, 249, 2, 1.0
52, 287, 0, 1.0
52, 251, 2, 1.0
52, 234, 2, 1.0
52, 195, 2, 1.0
52, 169, 2, 1.0
45, 294, -1, 1.0
43, 251, 3, 1.0
43, 234, 3, 1.0
43, 195, 3, 1.0
43, 169, 3, 1.0
43, 161, 2, 1.0
42, 303, 3, 1.0
42, 299, 0, 1.0
42, 231, 1, 1.0
42, 189, 2, 1.0
42, 147, 2, 1.0
42, 124, -2, 1.0
42, 108, -1, 1.0
42, 106, 3, 1.0
40, 311, -3, 1.0
38, 240, 1, 1.0
34, 163, -3, 1.0
27, 235, -2, 1.0
25, 39, 0, 1.0
20, 207, 0, 1.0
19, 251, 2, 1.0
19, 234, 2, 1.0
19, 208, -1, 1.0
19, 195, 2, 1.0
19, 191, -1, 1.0
19, 169, 2, 1.0
19, 161, 1, 1.0
19, 101, -3, 1.0
11, 311, 3, 1.0
11, 278, -3, 1.0
11, 121, -3, 1.0
10, 275, -2, 1.0
10, 115, -3, 1.0
133, 311, 3, 0.96490128135401532
11, 146, -1, 0.96222247584602583
67, 133, -2, 0.96083878423202074
67, 146, -3, 0.960700372373953
278, 298, -2, 0.95413004651266653
146, 278, -2, 0.95413004651266653
191, 208, 0, 0.94528533069948961
76, 208, 0, 0.94528533069948961
191, 298, -1, 0.94447298300375326
185, 337, 2, 0.94363577536522369
101, 191, 2, 0.94352976856854354
76, 101, -2, 0.94352976856854354
19, 298, -2, 0.94290807094440587
161, 238, 0, 0.94280904158206336
161, 175, 0, 0.94280904158206336
19, 238, 1, 0.94242129365631488
19, 175, 1, 0.94242129365631488
208, 236, 0, 0.94211670859689678
143, 208, 0, 0.94211670859689678
199, 295, 0, 0.94211670859689645
208, 238, 2, 0.94197873843413882
191, 238, 2, 0.94197873843413882
175, 208, -2, 0.94197873843413882
175, 191, -2, 0.94197873843413882
76, 238, 2, 0.94197873843413882
76, 175, 2, 0.94197873843413882
43, 238, 2, 0.94197873843413882
43, 175, 2, 0.94197873843413882
178, 238, 3, 0.94146887169127225
175, 178, -3, 0.94146887169127225
171, 185, 3, 0.94146887169127225
161, 298, -3, 0.94146887169127225
123, 301, 3, 0.94146887169127191
101, 236, 2, 0.94030620988672453
101, 143, 2, 0.94030620988672453
89, 101, -2, 0.94030620988672453
254, 375, -3, 0.93933643662772415
163, 375, -3, 0.93933643662772415
85, 375, -3, 0.93933643662772415
53, 375, -3, 0.93933643662772415
73, 140, 3, 0.93933643662772404
295, 337, -3, 0.93916594267285247
199, 337, -3, 0.93916594267285247
208, 298, -2, 0.93847028942958233
359, 364, 3, 0.93764950960943472
10, 121, 0, 0.9363892446617742
161, 298, -2, 0.93549455371157009
121, 146, 2, 0.93549455371157009
69, 259, 0, 0.93541434669348567
133, 278, -3, 0.93494699000845716
121, 133, 3, 0.93494699000845716
10, 123, 3, 0.93494699000845716
10, 11, 3, 0.93494699000845716
172, 259, 2, 0.93325652525738279
172, 199, -2, 0.93325652525738279
140, 208, 3, 0.931891116296093
19, 76, -1, 0.93178165589561057
190, 269, 3, 0.93074489399206928
101, 278, 3, 0.92998110995055361
