'neuron', 'neuron', 'delay', 'correlation coefficient'
47, 67, 3, -1.0
47, 232, 2, -1.0
67, 108, -3, -1.0
72, 232, -1, -1.0
88, 232, -1, -1.0
108, 232, 2, -1.0
27, 73, 0, -0.91344765427492991
43, 73, 0, -0.91344765427492991
47, 232, 0, -0.88388347648318444
38, 73, 0, -0.88034084308295046
50, 73, 0, -0.88034084308295046
73, 130, 0, -0.88034084308295046
73, 238, 0, -0.88034084308295046
61, 64, 2, -0.86692144686301076
73, 127, 0, -0.86616351484564436
60, 108, 2, -0.8563488385776753
60, 121, 2, -0.8563488385776753
76, 124, 0, -0.85177906159717121
48, 73, 0, -0.84970583144991996
42, 73, 0, -0.849640166198119
47, 232, 1, -0.84656167328001952
73, 163, 0, -0.84265480126440839
11, 17, -3, -0.83852549156242118
73, 173, 0, -0.82951506200625313
56, 60, -3, -0.82915619758884973
73, 167, 0, -0.82219219164377866
13, 73, 0, -0.81394102980498539
8, 124, 0, -0.81223673075485203
13, 64, -1, -0.80999767126004241
124, 167, 1, -0.80314223720554045
73, 113, 0, -0.80000000000000004
46, 73, 0, -0.79999999999999993
47, 60, -2, -0.79919314149919662
48, 58, 3, -0.79633305938119547
105, 173, -1, -0.7934443689589199
59, 173, 1, -0.79344436895891968
17, 26, 0, -0.79146727951662954
46, 73, 1, -0.79096499646041585
73, 113, -1, -0.79096499646041574
56, 232, 1, -0.78881063774661553
108, 232, 1, -0.78881063774661553
121, 170, 2, -0.78826342253143455
100, 103, -2, -0.7867957924694432
179, 232, 2, -0.7867957924694432
58, 99, -3, -0.78446454055273618
99, 232, 3, -0.78446454055273607
17, 124, -1, -0.78156469565479736
29, 155, 0, -0.77830084953659195
90, 155, 0, -0.77830084953659195
140, 155, 0, -0.77830084953659195
73, 112, 0, -0.77594028979898533
61, 167, -1, -0.77201763966573711
59, 173, 0, -0.7715167498104597
105, 173, 0, -0.7715167498104597
38, 58, 3, -0.76742576689365072
50, 58, 3, -0.76742576689365072
58, 238, -3, -0.76742576689365072
73, 112, -1, -0.76603234628542649
124, 170, 1, -0.76603234628542638
58, 108, -1, -0.76553181582411123
113, 124, -1, -0.76248369253472015
54, 58, 3, -0.76131470983594385
16, 73, 0, -0.76026311234992838
73, 170, 0, -0.75925660236529635
60, 64, 2, -0.75913410210596999
54, 73, 0, -0.75688926266145651
121, 232, 2, -0.7559289460184544
54, 124, -2, -0.75512562525264793
67, 121, 0, -0.75428144181651136
22, 48, -3, -0.75130548401671393
60, 108, 1, -0.75106761619881057
124, 163, 2, -0.75075719352954839
12, 53, -1, -0.74872773445290708
100, 232, 2, -0.74672865663234378
27, 58, 3, -0.74625685007290199
43, 58, 3, -0.74625685007290199
53, 70, -3, -0.7456437192014399
22, 54, -3, -0.74538624172347689
26, 130, 1, -0.74478153692904137
11, 100, -2, -0.74193548387096775
17, 73, 0, -0.74161984870956643
16, 38, -3, -0.74023321019760524
16, 50, -3, -0.74023321019760524
16, 238, -3, -0.74023321019760524
54, 124, -1, -0.73592666096185511
42, 105, 1, -0.73254089415961043
73, 125, -2, -0.73242494067846098
61, 155, 0, -0.73137799068651366
17, 105, 2, -0.73029674334022143
73, 76, -1, -0.72804400754561316
103, 155, 1, -0.72804400754561316
48, 124, -2, -0.72773196332501044
124, 130, 2, -0.72773196332501044
11, 179, -1, -0.72420682437790118
60, 179, 0, -0.72374686445574599
8, 26, 1, -0.7235656262540171
53, 163, -3, -0.72044553509739317
47, 60, -3, -0.72009768077425362
58, 100, -3, -0.71902338854428305
58, 121, -2, -0.71842120810709964
121, 163, 2, -0.71842120810709964
47, 58, 0, -0.71838111651923908
8, 73, 1, -0.71713716560063623
99, 124, -1, -0.71713716560063623
121, 170, 1, -0.71713716560063623
53, 170, -3, -0.71482846175129988
179, 232, 0, -0.71443450831176036
58, 167, -3, -0.71415022047731513
73, 127, -1, -0.71339969532899883
47, 58, 1, -0.71330850298936399
56, 170, 0, -0.7130240959073807
58, 170, -3, -0.71260964068696109
56, 60, -2, -0.71252530319442531
59, 155, 1, -0.71213671063826967
48, 124, -1, -0.71203932475671605
61, 170, -1, -0.71203932475671605
66, 106, 0, -0.71185851549614432
64, 127, 1, -0.71168192670845731
16, 26, 1, -0.7116819267084572
64, 163, 2, -0.71155559195948126
27, 124, -1, -0.71130329744236453
43, 124, -1, -0.71130329744236453
54, 105, 1, -0.71013249796465649
26, 27, 1, -0.71009667520387187
26, 43, 1, -0.71009667520387187
45, 95, 1, -0.71004694680469316
76, 124, -1, -0.71004694680469294
66, 173, 2, -0.71000531191146332
61, 121, 1, -0.70971871744708603
22, 42, -3, -0.70956629046023012
1, 64, 2, -0.70929936561519058
64, 67, -2, -0.70929936561519058
64, 232, 2, -0.70929936561519058
47, 170, 2, -0.70759697658766574
108, 170, 2, -0.70759697658766574
54, 61, 1, -0.70740690433574838
60, 121, 1, -0.70597811840613123
26, 76, 0, -0.70554065128769805
64, 112, 1, -0.70358202939371861
60, 179, 2, -0.70290194639441661
60, 64, 1, -0.70255239410397141
47, 60, -1, -0.70181002659753711
59, 163, 1, -0.70181002659753711
42, 73, 1, -0.70135450960847756
13, 64, -2, -0.70116959145888669
40, 70, 2, -0.70116959145888669
45, 124, 3, -0.70091302582234971
112, 124, -1, -0.70082555788515166
12, 112, -1, -0.70082555788515155
56, 58, 0, -0.70021862475156971
58, 108, 0, -0.7002186247515696
59, 100, 0, -0.70000000000000007
179, 232, -1, -0.70000000000000007
64, 95, -2, -0.69989647267561517
33, 179, 3, -0.69985421222376509
61, 70, -1, -0.69853547313569953
22, 38, -3, -0.69721668877839638
22, 50, -3, -0.69721668877839638
22, 238, -3, -0.69721668877839638
13, 38, -3, -0.69721668877839615
13, 50, -3, -0.69721668877839615
13, 238, -3, -0.69721668877839615
42, 58, 3, -0.69679142695854623
100, 105, 1, -0.69631062382279141
11, 70, -2, -0.69560834364025248
1, 45, 0, -0.69474040732970355
1, 121, 0, -0.69337524528153638
16, 61, 1, -0.69285870961499907
45, 67, 0, -0.69239479309934626
13, 40, -1, -0.69212156306859562
64, 127, 2, -0.69156407480812465
16, 42, -3, -0.69148923866544043
22, 196, -3, -0.69102331908064252
48, 53, 3, -0.68988358002501737
29, 100, 1, -0.68899862200413409
73, 173, -1, -0.68899862200413409
90, 100, 1, -0.68899862200413409
100, 140, -1, -0.68899862200413409
64, 66, 3, -0.68799648315900641
26, 42, 0, -0.68787787118443922
40, 127, 3, -0.68773030540537672
124, 154, -3, -0.68640647298364399
72, 232, 0, -0.68599434057003539
88, 232, 0, -0.68599434057003539
48, 61, 1, -0.68589357775095117
58, 73, 1, -0.68543652683762957
66, 196, 1, -0.68543652683762957
29, 187, -1, -0.68543652683762946
90, 187, -1, -0.68543652683762946
140, 187, -1, -0.68543652683762946
40, 59, -3, -0.68465319688145765
60, 64, 0, -0.68376345875782774
47, 67, 2, -0.68313005106397329
56, 67, 2, -0.68313005106397329
67, 108, -2, -0.68313005106397329
26, 173, 1, -0.6830998497180496
26, 167, -1, -0.68309984971804949
29, 187, 0, -0.68219104024064647
90, 187, 0, -0.68219104024064647
140, 187, 0, -0.68219104024064647
13, 26, 1, -0.68174803997720257
58, 70, -3, -0.68138514386924687
58, 84, -3, -0.68138514386924687
47, 232, 3, -0.68138514386924665
57, 232, 3, -0.68138514386924665
67, 179, -3, -0.68138514386924665
108, 232, 3, -0.68138514386924665
64, 170, 1, -0.68069630352097432
33, 154, -3, -0.6805446536716202
58, 196, -3, -0.6805446536716202
17, 66, -2, -0.67844952027095384
16, 100, -3, -0.67824708946491841
27, 105, 1, -0.67820108371832477
43, 105, 1, -0.67820108371832477
27, 59, -1, -0.67820108371832455
43, 59, -1, -0.67820108371832455
27, 66, -2, -0.67800267839603645
38, 66, -2, -0.67800267839603645
42, 66, -2, -0.67800267839603645
43, 66, -2, -0.67800267839603645
50, 66, -2, -0.67800267839603645
66, 238, 2, -0.67800267839603645
58, 100, -2, -0.67741935483870963
124, 173, 1, -0.6773488747516605
26, 76, -1, -0.67702326063198648
26, 48, 1, -0.67698233710028399
46, 53, 3, -0.67471215083655234
53, 54, -3, -0.67471215083655234
53, 113, -3, -0.67471215083655223
163, 196, 3, -0.67419986246324226
13, 121, -1, -0.67202150503224689
17, 58, 3, -0.67135769441196835
61, 121, 0, -0.67021328742849073
60, 108, 0, -0.67005939426048988
16, 48, -3, -0.66563917366860148
11, 48, -2, -0.66526734863608805
59, 155, 0, -0.66519010523773947
105, 155, 0, -0.66519010523773925
58, 64, -1, -0.66504360720661715
29, 106, -1, -0.6650170918302053
90, 106, -1, -0.6650170918302053
106, 140, 1, -0.6650170918302053
58, 121, -1, -0.66477002934788798
61, 100, 0, -0.66453430266319458
26, 54, 1, -0.66386590552465374
16, 66, -2, -0.66334949781147023
60, 179, -1, -0.6629935441317959
73, 84, 0, -0.66254134886891314
61, 100, 1, -0.66249867500397508
29, 173, 1, -0.66249867500397497
73, 167, -1, -0.66249867500397497
90, 173, 1, -0.66249867500397497
100, 103, -1, -0.66249867500397497
140, 173, 1, -0.66249867500397497
66, 155, 1, -0.66240625848647539
73, 163, 1, -0.66175115692998654
12, 95, -2, -0.66149509263165174
108, 232, 0, -0.66143782776614768
56, 232, 0, -0.66143782776614746
27, 61, 1, -0.66116779802320769
43, 61, 1, -0.66116779802320769
60, 100, 0, -0.66077483050081187
27, 196, 3, -0.65997500733685233
43, 196, 3, -0.65997500733685233
47, 170, 1, -0.65953060592745716
60, 121, 3, -0.65909090909090917
60, 108, 3, -0.65909090909090906
103, 155, 0, -0.65850460786851794
179, 232, 1, -0.65828058860438332
16, 64, -1, -0.65797008318329075
45, 125, -2, -0.65794104840607515
