'neuron', 'neuron', 'delay', 'correlation coefficient'
107, 207, -2, 1.0
107, 131, -2, 1.0
107, 129, 3, 1.0
91, 205, 3, 1.0
73, 207, -2, 1.0
73, 131, -2, 1.0
73, 129, 3, 1.0
73, 107, 0, 1.0
67, 129, 3, 1.0
64, 107, 2, 1.0
64, 73, 2, 1.0
62, 207, -2, 1.0
62, 131, -2, 1.0
62, 129, 3, 1.0
62, 107, 0, 1.0
62, 73, 0, 1.0
62, 64, -2, 1.0
61, 107, -3, 1.0
61, 73, -3, 1.0
61, 67, -3, 1.0
61, 62, -3, 1.0
58, 127, 0, 1.0
43, 48, 0, 1.0
42, 48, 0, 1.0
42, 43, 0, 1.0
38, 48, 0, 1.0
38, 43, 0, 1.0
38, 42, 0, 1.0
27, 48, 0, 1.0
27, 43, 0, 1.0
27, 42, 0, 1.0
27, 38, 0, 1.0
19, 137, -3, 1.0
17, 173, 0, 1.0
32, 48, 0, 0.96503498227100692
32, 43, 0, 0.96503498227100692
32, 42, 0, 0.96503498227100692
32, 38, 0, 0.96503498227100692
27, 32, 0, 0.96503498227100692
32, 54, 0, 0.96116131366690716
44, 179, 1, 0.95402298850574696
113, 131, 1, 0.95020678943792936
48, 54, 0, 0.93256809827408949
43, 54, 0, 0.93256809827408949
42, 54, 0, 0.93256809827408949
38, 54, 0, 0.93256809827408949
27, 54, 0, 0.93256809827408949
70, 168, -1, 0.93178165589561046
54, 127, 0, 0.92477219892766149
54, 58, 0, 0.92477219892766149
50, 54, 0, 0.92477219892766127
48, 127, -1, 0.92277494527963055
48, 58, -1, 0.92277494527963055
43, 127, -1, 0.92277494527963055
43, 58, -1, 0.92277494527963055
42, 127, -1, 0.92277494527963055
42, 58, -1, 0.92277494527963055
38, 127, -1, 0.92277494527963055
38, 58, -1, 0.92277494527963055
27, 127, -1, 0.92277494527963055
27, 58, -1, 0.92277494527963055
107, 113, -3, 0.92222466832677574
73, 113, -3, 0.92222466832677574
62, 113, -3, 0.92222466832677574
59, 124, 2, 0.91732864421200833
64, 124, 1, 0.90913729009698951
107, 205, 2, 0.90453403373329078
73, 205, 2, 0.90453403373329078
67, 205, 2, 0.90453403373329078
62, 205, 2, 0.90453403373329078
124, 131, -1, 0.90190830076031658
20, 207, -2, 0.90048581581928633
20, 131, -2, 0.90048581581928633
20, 64, -2, 0.90048581581928633
54, 70, 0, 0.89889683162077416
20, 84, 1, 0.89267855356785619
59, 207, -3, 0.89260739828867353
59, 131, -3, 0.89260739828867353
59, 64, -3, 0.89260739828867353
64, 207, 0, 0.89188258501584472
26, 84, 1, 0.89124917212054444
59, 208, 3, 0.89104211121363086
32, 127, 0, 0.89087080637474791
32, 58, 0, 0.89087080637474791
32, 50, 0, 0.89087080637474791
61, 205, -1, 0.89079866816608866
29, 44, 3, 0.88975652100260927
20, 107, 0, 0.8884308656520824
20, 73, 0, 0.8884308656520824
20, 62, 0, 0.8884308656520824
26, 207, -1, 0.88741196746494255
26, 107, 1, 0.88741196746494255
26, 73, 1, 0.88741196746494255
26, 62, 1, 0.88741196746494255
64, 207, -1, 0.88741196746494244
64, 107, 1, 0.88741196746494244
64, 73, 1, 0.88741196746494244
62, 64, -1, 0.88741196746494244
67, 107, 0, 0.88640526042791834
67, 73, 0, 0.88640526042791834
62, 67, 0, 0.88640526042791834
73, 107, 1, 0.88273482950474957
73, 107, -1, 0.88273482950474957
67, 207, -1, 0.88273482950474957
67, 107, 1, 0.88273482950474957
67, 73, 1, 0.88273482950474957
62, 107, 1, 0.88273482950474957
62, 107, -1, 0.88273482950474957
62, 73, 1, 0.88273482950474957
62, 73, -1, 0.88273482950474957
62, 67, -1, 0.88273482950474957
20, 26, -1, 0.881952895052173
20, 64, -1, 0.88195289505217267
84, 207, -3, 0.88070484592797915
84, 131, -3, 0.88070484592797915
64, 84, 3, 0.88070484592797915
113, 131, 0, 0.88051235847250819
41, 173, 1, 0.87939373055152803
17, 41, -1, 0.87939373055152803
127, 173, 1, 0.87939373055152792
58, 173, 1, 0.87939373055152792
17, 127, -1, 0.87939373055152792
17, 58, -1, 0.87939373055152792
59, 107, -1, 0.87904907299153268
59, 73, -1, 0.87904907299153268
59, 67, -1, 0.87904907299153268
59, 62, -1, 0.87904907299153268
137, 179, 0, 0.87831006565367986
67, 207, -2, 0.87831006565367986
67, 131, -2, 0.87831006565367986
64, 67, 2, 0.87831006565367986
48, 127, 0, 0.87831006565367986
48, 58, 0, 0.87831006565367986
48, 50, 0, 0.87831006565367986
43, 127, 0, 0.87831006565367986
43, 58, 0, 0.87831006565367986
43, 50, 0, 0.87831006565367986
42, 127, 0, 0.87831006565367986
42, 58, 0, 0.87831006565367986
42, 50, 0, 0.87831006565367986
38, 127, 0, 0.87831006565367986
38, 58, 0, 0.87831006565367986
38, 50, 0, 0.87831006565367986
27, 127, 0, 0.87831006565367986
27, 58, 0, 0.87831006565367986
27, 50, 0, 0.87831006565367986
44, 137, 1, 0.87732800792949539
19, 179, -3, 0.87499999999999978
50, 70, 0, 0.87481776527970656
70, 127, 0, 0.87481776527970634
58, 70, 0, 0.87481776527970634
124, 207, -2, 0.87369775285722429
124, 131, -2, 0.87369775285722429
64, 124, 2, 0.87369775285722429
59, 207, -2, 0.87287156094396945
59, 131, -2, 0.87287156094396945
59, 64, -2, 0.87287156094396945
32, 70, 0, 0.87287156094396945
107, 207, -3, 0.87287156094396934
107, 131, -3, 0.87287156094396934
73, 207, -3, 0.87287156094396934
73, 131, -3, 0.87287156094396934
64, 107, 3, 0.87287156094396934
64, 73, 3, 0.87287156094396934
62, 207, -3, 0.87287156094396934
62, 131, -3, 0.87287156094396934
62, 64, -3, 0.87287156094396934
107, 124, 3, 0.86904818925348115
73, 124, 3, 0.86904818925348115
67, 124, 3, 0.86904818925348115
62, 124, 3, 0.86904818925348115
15, 61, -1, 0.86795634353676687
26, 205, 3, 0.86602540378443871
205, 207, -3, 0.86602540378443849
131, 205, 3, 0.86602540378443849
64, 205, 3, 0.86602540378443849
59, 124, 1, 0.86417049923297451
134, 208, 0, 0.86276274291475841
84, 107, -1, 0.86164043685532921
73, 84, 1, 0.86164043685532921
67, 84, 1, 0.86164043685532921
62, 84, 1, 0.86164043685532921
107, 124, 1, 0.86164043685532909
73, 124, 1, 0.86164043685532909
67, 124, 1, 0.86164043685532909
