'neuron', 'neuron', 'delay', 'correlation coefficient'
94, 185, 0, 1.0
84, 185, 0, 1.0
84, 94, 0, 1.0
47, 153, 0, 1.0
171, 187, 0, 0.93068308446939763
16, 188, -1, 0.92872692042514393
6, 57, 0, 0.92144267525092682
39, 44, 0, 0.91467680814937957
98, 171, 0, 0.91399690074556084
40, 171, 0, 0.9137134599232658
40, 187, 0, 0.90688598982036639
93, 192, 2, 0.90265060772286887
93, 187, 1, 0.89983073843565453
10, 93, 0, 0.8981462390204985
127, 187, -1, 0.89177845746816586
10, 106, 0, 0.8908708063747478
56, 160, 0, 0.88640526042791834
44, 187, 0, 0.88015800376295095
57, 106, 0, 0.87831006565367997
93, 138, 1, 0.87657926529781649
138, 143, -1, 0.87422228614476538
10, 44, 1, 0.87286435234224791
10, 99, 0, 0.871812750115739
10, 138, 1, 0.86931251932359876
19, 175, 0, 0.86602540378443882
10, 44, 0, 0.86602540378443882
138, 171, 0, 0.86578928040656322
40, 138, 0, 0.8636008636012954
10, 171, 1, 0.86233090489951836
21, 153, 0, 0.86189160737133463
21, 47, 0, 0.86189160737133463
21, 185, 0, 0.86189160737133452
21, 94, 0, 0.86189160737133452
21, 84, 0, 0.86189160737133452
93, 98, 1, 0.85951770521566107
19, 50, 0, 0.8574929257125441
78, 160, 0, 0.85644762716179312
10, 187, 0, 0.85584751225590472
40, 93, -1, 0.85557676769291757
44, 99, 0, 0.85349181358819659
93, 171, 1, 0.85342660513851276
138, 187, 0, 0.85165831670454373
127, 138, 0, 0.85163549648187198
44, 138, 0, 0.84852813742385713
44, 93, 0, 0.84852813742385702
40, 127, 0, 0.84607323971561277
57, 66, -1, 0.84505116561157301
6, 57, -1, 0.84505116561157301
126, 138, 1, 0.8442823207443968
101, 138, 1, 0.84428232074439669
40, 98, 0, 0.84414491952584181
66, 187, 1, 0.84390804992686175
40, 93, -2, 0.84277689744715534
66, 98, 2, 0.84091474073019801
6, 106, 0, 0.83928690906225267
10, 139, 1, 0.83874213682932552
10, 187, 1, 0.83793829842427736
127, 171, 0, 0.83750213955898012
187, 192, 1, 0.83668167894609591
93, 179, -3, 0.83333333333333326
10, 66, -1, 0.82983865567398951
93, 106, 0, 0.82922798289677113
66, 93, 0, 0.82922798289677113
66, 138, 1, 0.8287965687579737
99, 138, 1, 0.82836265485206173
66, 138, 2, 0.82656828515473579
44, 93, -1, 0.82591800711752239
98, 127, 0, 0.82559298300367423
10, 139, 0, 0.82495791138430552
127, 171, -1, 0.82444947557837278
40, 192, 0, 0.82354465965824408
10, 40, 1, 0.82251612115266481
98, 192, 0, 0.82219219164377866
10, 57, 0, 0.821583836257749
56, 173, 1, 0.82041265414236697
56, 78, 0, 0.82005484365475312
40, 187, -1, 0.81997782675120934
44, 171, 0, 0.81914816576253102
93, 127, 2, 0.81817111505475049
93, 99, 0, 0.81705948797902805
99, 138, 0, 0.81705948797902794
44, 139, 0, 0.81649658092772615
39, 93, 0, 0.81593049597219114
98, 187, 0, 0.81530425611725976
99, 187, 0, 0.8150755078328602
6, 66, -1, 0.8146067415730337
56, 173, 2, 0.81434507104595533
6, 10, 0, 0.81311962343346411
10, 39, 0, 0.81244446370238743
51, 127, -2, 0.81187442576900593
44, 126, -1, 0.80967110663289577
44, 101, -1, 0.80967110663289577
66, 106, 0, 0.80952380952380953
6, 93, -1, 0.80904520747660069
51, 187, -3, 0.8089790574450092
51, 138, -3, 0.8089790574450092
10, 98, 1, 0.80874579902578803
93, 139, 0, 0.80829037686547611
99, 127, 1, 0.80527623196027098
57, 93, 0, 0.80498447189992439
101, 126, 0, 0.80434782608695632
126, 181, 1, 0.80407172330824217
101, 181, 1, 0.80407172330824217
57, 106, -1, 0.803938740384603
9, 78, -1, 0.8036375634160795
66, 171, 1, 0.80357407711840145
6, 57, 1, 0.80288898986779833
51, 138, -2, 0.80213747988011386
51, 99, -3, 0.80178372573727308
10, 66, 0, 0.80178372573727297
10, 127, 1, 0.79949424498362753
127, 192, 0, 0.79858365188413671
52, 88, 0, 0.7977240352174656
98, 118, -2, 0.79734659302211452
6, 150, 2, 0.79681907288959575
118, 127, 1, 0.79649771007237524
138, 187, -1, 0.79645440713295645
57, 150, 3, 0.79600294575784869
10, 51, 3, 0.79600294575784869
93, 138, 2, 0.79531175235225726
39, 99, 0, 0.79452720039958569
98, 187, -1, 0.79444444444444451
66, 99, 1, 0.79353039087238175
98, 99, -1, 0.79352944737775821
44, 66, -1, 0.79344436895891968
50, 175, 0, 0.79211803438133932
98, 138, 0, 0.7919595949289332
6, 106, -1, 0.79122669990744898
171, 192, 0, 0.79074573056635722
44, 57, 0, 0.79056941504209477
9, 56, -1, 0.78881063774661564
40, 66, -1, 0.788321292147248
93, 98, 2, 0.78807947019867552
93, 143, 0, 0.78392949590218552
52, 179, 1, 0.78334945180064031
19, 235, 1, 0.78334945180064031
10, 93, -1, 0.78141959731014932
10, 57, 1, 0.77926384619258704
66, 93, 1, 0.77909844180467458
88, 153, 0, 0.77742884201424145
64, 153, 0, 0.77742884201424145
47, 88, 0, 0.77742884201424145
47, 64, 0, 0.77742884201424145
88, 185, 0, 0.77742884201424134
88, 94, 0, 0.77742884201424134
84, 88, 0, 0.77742884201424134
51, 173, 3, 0.77718892637404524
6, 44, 0, 0.77702868988581142
138, 192, 1, 0.77605329138532542
98, 192, 1, 0.77605329138532542
126, 171, 1, 0.77541737980265812
44, 66, -2, 0.7745966692414834
57, 139, 0, 0.77459666924148329
98, 181, -1, 0.77390074860823066
98, 139, -1, 0.77356919971172589
66, 126, 0, 0.77352678382859297
66, 101, 0, 0.77352678382859297
171, 192, 1, 0.77351248581575605
6, 56, 3, 0.77344313670384712
93, 187, 0, 0.77304370285489354
66, 139, 1, 0.77201763966573722
44, 106, 0, 0.77151674981045948
118, 138, 1, 0.77134895689531202
44, 98, 1, 0.77086878463690056
126, 187, 1, 0.77062891314555437
101, 143, 0, 0.77015090149086607
126, 143, 0, 0.77015090149086596
99, 106, 0, 0.76991885354945233
66, 99, 0, 0.76991885354945233
10, 143, 0, 0.7693218186208296
6, 93, 0, 0.76921915811265829
138, 181, 0, 0.76920738425992752
118, 143, 1, 0.76908515227772967
98, 143, -1, 0.76834981992783247
19, 175, -1, 0.76829537144107396
171, 187, -1, 0.76733527144490021
88, 179, 0, 0.76623376623376627
19, 50, -1, 0.7660323462854266
40, 66, -2, 0.76455285154260755
66, 181, 2, 0.76455285154260744
44, 143, -1, 0.76430020346868355
66, 171, 2, 0.76409317745834104
98, 126, -2, 0.76297348105037088
98, 101, -2, 0.76297348105037088
98, 138, -1, 0.76210569862455291
138, 139, -1, 0.76193931775945933
39, 106, 0, 0.75997220723890802
99, 171, 0, 0.75857698770534709
44, 192, 1, 0.75828754440515511
44, 127, 1, 0.75728244566275293
66, 106, 1, 0.75627423878200151
143, 171, 1, 0.75600435222207885
106, 139, 0, 0.7559289460184544
139, 192, 2, 0.75308102598456217
9, 106, 2, 0.75261780900638164
6, 40, 1, 0.75140793231301006
40, 127, 1, 0.75140793231300995
84, 88, 1, 0.75106761619881079
44, 139, -1, 0.75106761619881079
88, 185, -1, 0.75106761619881068
88, 94, -1, 0.75106761619881068
179, 185, -1, 0.75106761619881057
94, 179, 1, 0.75106761619881057
84, 179, 1, 0.75106761619881057
10, 93, 1, 0.74943777376389686
98, 127, 1, 0.74867380650231641
127, 138, -1, 0.74867380650231619
93, 127, 1, 0.74867380650231607
10, 98, 2, 0.7480659389429668
57, 99, 0, 0.74740931868365978
39, 139, 0, 0.746830486507854
57, 150, 2, 0.74672865663234367
44, 143, 0, 0.74620250724463633
98, 126, -1, 0.74554856607051156
39, 98, 1, 0.74554856607051156
66, 179, -3, 0.74535599249992979
118, 187, 1, 0.74478153692904137
16, 192, 0, 0.74420840753525075
44, 106, -1, 0.74392462580451935
99, 171, 1, 0.7435897435897435
88, 179, 1, 0.74242424242424243
