'neuron', 'neuron', 'delay', 'correlation coefficient'
1, 100, 1, -1.0
20, 100, 1, -1.0
21, 100, 0, -1.0
29, 100, 2, -1.0
88, 192, 2, -1.0
1, 4, 1, -0.97112324508419468
4, 20, -1, -0.97112324508419468
4, 29, -1, -0.96934549146224525
4, 29, -2, -0.96849599695818622
4, 21, 0, -0.94907075295662069
1, 4, 0, -0.93974298779872933
4, 21, 1, -0.93732141156138582
1, 100, 0, -0.89188258501584472
21, 100, -1, -0.88741196746494222
21, 100, 1, -0.88741196746494222
21, 107, 1, -0.88741196746494222
1, 46, 2, -0.88718232720408718
20, 46, 2, -0.88718232720408718
29, 100, 1, -0.88273482950474957
29, 46, 3, -0.87845859191933173
1, 100, 2, -0.87831006565367986
1, 107, 2, -0.87831006565367986
20, 100, 2, -0.87831006565367986
20, 107, 2, -0.87831006565367986
17, 88, -1, -0.87257305207719849
40, 88, -1, -0.87167173692535993
17, 88, -2, -0.86995023834169716
29, 100, 3, -0.86602540378443849
29, 107, 3, -0.86602540378443849
4, 21, -1, -0.86178638957110476
21, 46, 2, -0.85120555578755053
1, 4, 2, -0.85063978267367069
4, 20, -2, -0.85063978267367069
43, 88, -1, -0.84956906376587149
1, 46, 3, -0.84051051488723671
20, 46, 3, -0.84051051488723671
21, 46, 1, -0.83916498833836839
4, 29, -3, -0.83562902179673337
47, 66, -1, -0.83452296039628004
47, 124, -1, -0.83452296039628004
66, 88, 1, -0.83452296039628004
88, 124, -1, -0.83452296039628004
4, 20, 0, -0.82704737043362653
88, 137, 0, -0.82375447104791399
88, 137, 1, -0.82041265414236697
6, 187, -3, -0.81852145352262518
21, 46, 3, -0.81839181712704678
27, 165, 3, -0.8125
1, 4, -1, -0.8083467627140859
4, 21, 2, -0.80075721739621009
28, 78, 2, -0.79561447726871803
181, 187, -3, -0.78882101021468221
1, 100, -1, -0.78334945180064031
6, 98, -3, -0.77927727424414328
29, 46, 2, -0.77922116805340635
88, 187, 2, -0.77761823361655513
20, 100, 0, -0.77500000000000002
21, 107, 0, -0.77500000000000002
21, 100, -2, -0.7745966692414834
21, 100, 2, -0.7745966692414834
21, 107, 2, -0.7745966692414834
10, 78, 0, -0.76862491105268893
57, 187, -3, -0.76055859179795571
43, 179, 0, -0.75812978146900378
1, 107, 1, -0.75714285714285712
20, 107, 1, -0.75714285714285712
1, 100, 3, -0.7559289460184544
1, 107, 3, -0.7559289460184544
20, 100, 3, -0.7559289460184544
20, 107, 3, -0.7559289460184544
57, 179, 1, -0.75174216262610105
4, 21, -2, -0.75019377341752091
88, 127, 2, -0.7453559924999299
39, 47, 3, -0.73854894587599618
29, 107, 2, -0.73333333333333328
127, 165, 2, -0.73253644819349406
53, 88, 1, -0.73189785520732276
88, 171, 1, -0.73189785520732276
6, 40, -3, -0.73147862279751952
1, 4, 3, -0.72939680862579692
4, 20, -3, -0.72939680862579692
78, 138, 0, -0.72939680862579692
53, 88, 2, -0.72586618631129773
1, 46, 1, -0.72564799181537176
20, 46, 1, -0.72564799181537176
40, 88, -2, -0.72554231961974391
28, 64, 1, -0.72423827073480085
6, 127, -3, -0.72403714115472129
43, 126, 3, -0.7223080101982805
39, 179, 3, -0.72057669212289222
6, 171, -3, -0.71504198353908988
28, 107, -2, -0.71374642714632974
40, 126, 3, -0.71364124014006314
179, 223, -1, -0.71004694680469316
1, 162, -2, -0.70909090909090911
88, 98, 1, -0.70732785568974066
40, 53, 3, -0.70548124620613728
6, 88, 1, -0.70328060592841557
40, 47, 1, -0.70328060592841535
117, 187, -3, -0.70212465129130908
31, 126, 2, -0.70147237441220167
6, 192, -3, -0.70133438436967199
179, 209, -1, -0.70000000000000029
21, 162, -3, -0.69999999999999996
27, 101, 3, -0.69877124296868431
6, 27, -3, -0.69843029576957794
88, 223, 1, -0.69482257851500229
17, 47, -1, -0.69385327032644695
66, 187, -3, -0.69271209521731036
124, 187, -3, -0.69271209521731036
4, 29, 0, -0.69098749102847745
88, 187, 1, -0.68897583807920015
165, 187, -2, -0.68768190607350344
117, 179, 1, -0.68690949927495892
18, 88, 1, -0.68655548122874765
18, 47, 1, -0.68655548122874754
117, 165, 3, -0.68599434057003528
78, 179, -3, -0.68491749073298547
43, 88, 0, -0.68401332664804559
40, 47, 0, -0.68401332664804537
40, 88, 0, -0.68401332664804537
6, 179, 2, -0.68376345875782762
39, 179, 2, -0.68313005106397329
21, 46, 0, -0.68313005106397306
98, 165, 3, -0.68229638025968165
66, 88, 0, -0.6785714285714286
88, 124, 0, -0.6785714285714286
4, 20, 1, -0.678224436007832
43, 47, 1, -0.67763246752754036
165, 171, -3, -0.67608398312547369
21, 162, 0, -0.67606598597422751
138, 165, 3, -0.6747445238116373
126, 165, 3, -0.67474452381163719
27, 124, 3, -0.67419986246324226
27, 66, 3, -0.67419986246324215
1, 100, -2, -0.67419986246324204
1, 107, -2, -0.67419986246324204
17, 126, 3, -0.67314560089181297
1, 4, -2, -0.67272727272727273
171, 179, 0, -0.67198400278578074
1, 53, 3, -0.66954778998243469
20, 53, 3, -0.66954778998243469
171, 179, 1, -0.66908045166007568
179, 181, -1, -0.66908045166007568
28, 78, 1, -0.66903866263130907
18, 179, 1, -0.66850367472480476
98, 181, 3, -0.66746393172011587
47, 192, 2, -0.66666666666666663
28, 126, -1, -0.66643804857462063
57, 179, 2, -0.66575028593568275
57, 98, -3, -0.66548876782321131
17, 47, 0, -0.66272899924763284
78, 81, -1, -0.66255856771346811
1, 107, 0, -0.66254134886891325
29, 100, 0, -0.66254134886891325
27, 179, 1, -0.66240625848647539
27, 181, 3, -0.66143782776614779
21, 100, -3, -0.66143782776614768
21, 100, 3, -0.66143782776614768
21, 107, 3, -0.66143782776614768
88, 209, 0, -0.66143782776614768
21, 107, -3, -0.66143782776614757
4, 21, 3, -0.65997500733685233
88, 192, 3, -0.65909090909090906
179, 187, -1, -0.65870408843082606
88, 209, -1, -0.65828058860438332
47, 209, -1, -0.65828058860438321
179, 187, 0, -0.6574741856778209
88, 117, 0, -0.65659915395893698
57, 88, 1, -0.65558014837861089
126, 137, -3, -0.6551724137931032
47, 209, -2, -0.6546536707079772
88, 209, -2, -0.6546536707079772
1, 5, -3, -0.6504436355879909
5, 29, 3, -0.6504436355879909
31, 101, 2, -0.64944820344102905
5, 37, -1, -0.64891936749872881
40, 179, 0, -0.64807868415898706
66, 179, 1, -0.64795159529186286
124, 179, 1, -0.64795159529186286
20, 100, -1, -0.64795159529186253
21, 107, -1, -0.64795159529186253
18, 187, -3, -0.64553224768386486
40, 179, 1, -0.64553015705966021
6, 179, 1, -0.6455301570596601
44, 124, -3, -0.6454972243679028
44, 66, -3, -0.64549722436790269
1, 39, 3, -0.64465837122030401
20, 39, 3, -0.64465837122030401
1, 162, 1, -0.64437998410082098
20, 162, 1, -0.64437998410082098
6, 17, -3, -0.64421676779049986
10, 187, -3, -0.64216129906793573
138, 187, -3, -0.64216129906793573
165, 187, -3, -0.64216129906793562
21, 37, 3, -0.6415029025857748
88, 98, 2, -0.64051261522034852
4, 21, -3, -0.63822220754757264
165, 192, -2, -0.63668201221200649
10, 179, 1, -0.63639610306789285
5, 32, 1, -0.63620901028035171
40, 57, 3, -0.6361104144965557
27, 117, 3, -0.6356845346445098
29, 53, 3, -0.63481105427273843
27, 44, 2, -0.63341201994559404
29, 107, 1, -0.63262662781173717
10, 165, 3, -0.63245553203367588
44, 171, -2, -0.63175264872490089
6, 192, -2, -0.62985816774525505
57, 171, -3, -0.62914948447013519
47, 137, 0, -0.62865472790498689
127, 165, 3, -0.62828086243754322
18, 27, -3, -0.62828086243754311
78, 165, 0, -0.62823080961827715
5, 29, 1, -0.6267831705280088
5, 78, -1, -0.6267831705280088
53, 192, -1, -0.6267831705280088
53, 187, -3, -0.62642359795958169
43, 179, -1, -0.62584565613240972
10, 27, -3, -0.62500000000000011
27, 138, 3, -0.62500000000000011
98, 179, 1, -0.62276701372787391
44, 98, -2, -0.62199796861197409
98, 165, 2, -0.62162358623817282
28, 37, 2, -0.62132807349583941
47, 101, -1, -0.62116958099350639
47, 137, -1, -0.62116958099350639
47, 137, 1, -0.62116958099350639
88, 101, -1, -0.62116958099350639
47, 171, -1, -0.62054271414082385
