'neuron', 'neuron', 'delay', 'correlation coefficient'
4, 140, 3, -1.0
4, 162, 3, -1.0
4, 229, 3, -1.0
10, 46, -2, -1.0
19, 113, -3, -1.0
43, 46, -2, -1.0
95, 140, 3, -1.0
95, 162, 3, -1.0
95, 229, 3, -1.0
46, 232, 2, -0.89442719099991586
112, 140, 0, -0.88640526042791845
112, 229, 0, -0.88640526042791845
112, 162, 0, -0.88640526042791834
52, 55, -3, -0.87499999999999989
55, 232, 3, -0.86608826629704527
2, 140, -3, -0.8660254037844386
2, 162, -3, -0.8660254037844386
2, 174, -3, -0.8660254037844386
2, 229, -3, -0.8660254037844386
2, 61, -3, -0.86602540378443849
57, 140, -3, -0.86072856263550657
57, 162, -3, -0.86072856263550657
57, 174, -3, -0.86072856263550657
57, 229, -3, -0.86072856263550657
112, 166, -2, -0.8563488385776753
19, 140, 0, -0.85349181358819681
19, 229, 0, -0.85349181358819681
19, 162, 0, -0.85349181358819648
46, 95, -1, -0.85305663804089094
10, 174, -1, -0.84746331488794391
19, 166, -2, -0.84270097160038437
10, 174, 0, -0.84265480126440817
174, 232, 1, -0.83164780941347394
19, 116, -3, -0.82915619758885006
19, 132, -3, -0.82915619758885006
112, 116, -3, -0.82915619758884995
112, 132, -3, -0.82915619758884995
4, 61, 3, -0.81373347120673489
61, 95, -3, -0.81373347120673489
95, 166, 1, -0.80812203564176854
72, 140, 3, -0.80178372573727319
72, 162, 3, -0.80178372573727319
72, 229, 3, -0.80178372573727319
4, 174, 0, -0.79378862058858102
4, 174, 1, -0.79166857360563625
10, 140, 0, -0.79056941504209477
10, 162, 0, -0.79056941504209477
10, 229, 0, -0.79056941504209477
39, 67, -2, -0.78835612279228606
4, 57, -3, -0.78597749189185928
4, 179, 3, -0.78446454055273607
95, 179, 3, -0.78446454055273607
72, 166, 1, -0.78334945180064031
19, 140, 1, -0.7774332869920545
19, 162, 1, -0.7774332869920545
19, 229, 1, -0.7774332869920545
43, 174, -1, -0.77712066227056686
19, 166, -1, -0.77509781783910026
46, 52, 2, -0.7745966692414834
95, 132, 0, -0.7745966692414834
95, 116, 0, -0.77459666924148329
10, 140, 1, -0.77151674981045959
10, 162, 1, -0.77151674981045959
10, 229, 1, -0.77151674981045959
112, 140, 1, -0.77151674981045959
112, 162, 1, -0.77151674981045959
112, 229, 1, -0.77151674981045959
90, 140, 0, -0.77151674981045948
90, 162, 0, -0.77151674981045948
90, 229, 0, -0.77151674981045948
4, 126, -3, -0.77109960095605945
4, 130, -2, -0.76991885354945233
72, 140, 2, -0.76980035891950105
72, 162, 2, -0.76980035891950105
72, 229, 2, -0.76980035891950105
72, 132, 0, -0.76827332534653592
72, 116, 0, -0.76827332534653581
19, 116, -2, -0.76794764778830449
19, 132, -2, -0.76794764778830449
112, 173, -3, -0.7624563678786217
43, 174, 0, -0.75306978027253979
112, 166, -1, -0.75106761619881079
52, 166, 2, -0.74672865663234378
10, 140, 2, -0.7453559924999299
10, 162, 2, -0.7453559924999299
