'neuron', 'neuron', 'delay', 'correlation coefficient'
166, 229, 2, 1.0
162, 229, 0, 1.0
162, 166, -2, 1.0
140, 229, 0, 1.0
140, 166, -2, 1.0
140, 162, 0, 1.0
132, 229, 3, 1.0
132, 166, 1, 1.0
132, 162, 3, 1.0
132, 140, 3, 1.0
116, 229, 3, 1.0
116, 166, 1, 1.0
116, 162, 3, 1.0
116, 140, 3, 1.0
116, 132, 0, 1.0
109, 130, -1, 1.0
31, 130, -2, 1.0
21, 130, -3, 1.0
21, 109, -2, 1.0
5, 130, -3, 1.0
5, 109, -2, 1.0
5, 21, 0, 1.0
2, 153, 3, 0.93062958719967026
57, 232, -3, 0.9207317073170731
57, 232, -2, 0.91666666666666663
10, 232, 0, 0.90873893479530354
57, 126, 3, 0.90241192957561989
95, 128, -2, 0.88863454890204852
55, 174, 1, 0.88784566650754781
162, 229, 1, 0.87400737347512636
140, 162, -1, 0.87400737347512636
162, 229, -1, 0.87400737347512625
140, 229, 1, 0.87400737347512625
140, 229, -1, 0.87400737347512625
140, 162, 1, 0.87400737347512625
57, 153, 0, 0.87015805888259767
2, 57, 3, 0.86608826629704505
2, 10, -3, 0.8660254037844386
10, 57, 3, 0.86072856263550657
166, 229, 1, 0.85933784884731956
162, 166, -1, 0.85933784884731956
140, 166, -1, 0.85933784884731956
52, 57, 3, 0.85620857644957571
57, 112, -3, 0.85565346790792418
2, 43, -3, 0.85280286542244188
57, 126, 2, 0.85280286542244166
46, 174, 2, 0.84772352250228056
57, 95, 3, 0.84515425472851635
61, 166, -2, 0.84270097160038437
2, 19, -3, 0.83874213682932586
132, 166, 0, 0.83666002653407534
116, 166, 0, 0.83666002653407534
132, 229, 2, 0.83205029433784361
132, 162, 2, 0.83205029433784361
132, 140, 2, 0.83205029433784361
116, 229, 2, 0.83205029433784361
116, 162, 2, 0.83205029433784361
116, 140, 2, 0.83205029433784361
166, 229, 3, 0.82915619758885006
162, 166, -3, 0.82915619758885006
140, 166, -3, 0.82915619758885006
113, 229, 3, 0.82915619758885006
113, 162, 3, 0.82915619758885006
113, 140, 3, 0.82915619758885006
19, 95, -3, 0.82915619758885006
4, 19, 3, 0.82915619758885006
95, 112, 3, 0.82915619758884995
4, 112, 3, 0.82915619758884995
95, 126, -3, 0.82915619758884973
31, 109, -1, 0.8262364471909156
52, 232, 0, 0.82550082550123838
126, 232, -3, 0.8192708916741096
19, 57, 3, 0.8167715175339999
126, 232, -2, 0.81649658092772615
61, 132, -3, 0.81373347120673489
61, 116, -3, 0.81373347120673489
126, 174, 3, 0.81184414088598866
57, 112, 0, 0.81048843026978046
52, 72, 1, 0.809372568860522
72, 90, 2, 0.80836727634018768
95, 156, 1, 0.80677931130071556
57, 90, 0, 0.80369729343685525
31, 95, -1, 0.8023774198028778
126, 130, -2, 0.80178372573727319
55, 174, 2, 0.79561447726871803
72, 90, 1, 0.79430869478625854
2, 126, 3, 0.79406666717674401
10, 43, 0, 0.79056941504209477
116, 132, 1, 0.78881063774661531
116, 132, -1, 0.78881063774661531
132, 166, 2, 0.7867957924694432
116, 166, 2, 0.7867957924694432
61, 229, -1, 0.78633298241180893
61, 140, -1, 0.78633298241180893
61, 162, -1, 0.78633298241180882
61, 229, 0, 0.78446454055273618
61, 140, 0, 0.78446454055273618
132, 179, 3, 0.78446454055273607
116, 179, 3, 0.78446454055273607
61, 162, 0, 0.78446454055273607
128, 153, 1, 0.78376898213490076
57, 90, 1, 0.78360168331268598
52, 90, 3, 0.78334945180064031
10, 52, 0, 0.7826237921249265
2, 57, 0, 0.78094752208971396
52, 72, 0, 0.78086880944303028
57, 153, 1, 0.77944328211569147
90, 95, 2, 0.7745966692414834
2, 128, 2, 0.7745966692414834
2, 232, -3, 0.77302068252392586
